acquisitionDate,additionalInfo_ACTION,additionalInfo_FORMED_GEN,additionalInfo_Fe_avg,additionalInfo_HARVDATE,additionalInfo_HETER_GROUP,additionalInfo_NOTE_AA_text,additionalInfo_PLOTS_IN_TRIAL,additionalInfo_PRODLOC,additionalInfo_PRODSEASON,additionalInfo_QPM_ZN_DONOR,additionalInfo_REC_PARENT,additionalInfo_SOWDATE,additionalInfo_YEARCODE,additionalInfo_Zn_avg,breedingMethodDbId,countryOfOriginCode,defaultDisplayName,donors,germplasmDbId,germplasmName,pedigree,storageTypes,synonyms,taxonIds
2017-09-22,,,,,A,,11,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X122,,62,CE,CLWN207,[],2QEDGGHgPbIU8,CLWN207,CLWN207,[],[],[]
2017-09-22,,,,,B,,12,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X123,,62,CE,CLQRCWQ10,[],2QEDGzb0xVxMl,CLQRCWQ10,CLQRCWQ10,[],[],[]
2017-09-22,,,,,B,,13,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X124,,62,CE,CLQRCWQ108,[],2QEDGNLmJZC16,CLQRCWQ108,CLQRCWQ108,[],[],[]
2017-09-22,,,,,A,,14,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X125,,62,CE,CLQRCWQ113,[],2QEDGnEUeFDVr,CLQRCWQ113,CLQRCWQ113,[],[],[]
2017-09-22,,,,,B,,19,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X126,,62,CE,CLQRCWQ119,[],2QEDGFYWd9on6,CLQRCWQ119,CLQRCWQ119,[],[],[]
2017-09-22,,,,,A,,20,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X127,,62,CE,CLQRCWQ120,[],2QEDGcliKDqIb,CLQRCWQ120,CLQRCWQ120,[],[],[]
2017-09-22,,,,,B,,21,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X128,,62,CE,CLQRCWQ121,[],2QEDGiHSKb09y,CLQRCWQ121,CLQRCWQ121,[],[],[]
2017-09-22,,,,,B,,22,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X129,,62,CE,CLQRCWQ122,[],2QEDGcFQNhRg0,CLQRCWQ122,CLQRCWQ122,[],[],[]
2017-09-22,,,,,B,,23,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X130,,62,CE,CLQRCWQ123,[],2QEDGCu74RXqr,CLQRCWQ123,CLQRCWQ123,[],[],[]
2017-09-22,,,,,B,,24,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X131,,62,CE,CLQRCWQ125,[],2QEDGgqr1Ms01,CLQRCWQ125,CLQRCWQ125,[],[],[]
2017-09-22,,,,,B,,25,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X132,,62,CE,CLQRCWQ126,[],2QEDGJa4H8LVf,CLQRCWQ126,CLQRCWQ126,[],[],[]
2017-09-22,,,,,B,,26,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X133,,62,CE,CLQRCWQ127,[],2QEDGJumsT8OC,CLQRCWQ127,CLQRCWQ127,[],[],[]
2017-09-22,,,,,B,,27,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X134,,62,CE,CLQRCWQ128,[],2QEDG1ffTrggu,CLQRCWQ128,CLQRCWQ128,[],[],[]
2017-09-22,,,,,B,,30,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X135,,62,CE,CML554=CLQRCWQ131,[],2QEDG1BJ3wcOi,CML554=CLQRCWQ131,CML554=CLQRCWQ131,[],[],[]
2017-09-22,,,,,B,,32,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X136,,62,CE,CLQRCWQ134,[],2QEDGkg8iks05,CLQRCWQ134,CLQRCWQ134,[],[],[]
2017-09-22,,,,,B,,33,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X137,,62,CE,CLQRCWQ26,[],2QEDGC4OCxOsR,CLQRCWQ26,CLQRCWQ26,[],[],[]
2017-09-22,,,,,B,,34,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X138,,62,CE,CLQRCWQ48,[],2QEDGMPOLAnaD,CLQRCWQ48,CLQRCWQ48,[],[],[]
2017-09-22,,,,,B,,35,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X139,,62,CE,CLQRCWQ83,[],2QEDGAuGKI2BL,CLQRCWQ83,CLQRCWQ83,[],[],[]
2017-09-22,,,,,B,,37,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X140,,62,CE,CLQRCWQ92,[],2QEDGgPTXB5Ap,CLQRCWQ92,CLQRCWQ92,[],[],[]
2017-09-22,,,,,B,,38,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X141,,62,CE,CLQRCWQ97,[],2QEDGM2dT520t,CLQRCWQ97,CLQRCWQ97,[],[],[]
2017-09-22,,,,,B,,40,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X142,,62,CE,CLQ6316,[],2QEDGfAl9etRt,CLQ6316,CLQ6316,[],[],[]
2017-09-22,,,,,B,,42,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X143,,62,CE,CLWQ206,[],2QEDG6fvbPgil,CLWQ206,CLWQ206,[],[],[]
2017-09-22,,,,,B,,43,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X144,,62,CE,CLWQ208,[],2QEDGKiGNg1DH,CLWQ208,CLWQ208,[],[],[]
2017-09-22,,,,,B,,44,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X145,,62,CE,CLWQ219,[],2QEDGXHAxl6ZI,CLWQ219,CLWQ219,[],[],[]
2017-09-22,,,,,B,,45,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X146,,62,CE,CLWQ220,[],2QEDGwinUuoBX,CLWQ220,CLWQ220,[],[],[]
2017-09-22,,,,,B,,49,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X147,,62,CE,CLWQ226,[],2QEDGE8dTHyHc,CLWQ226,CLWQ226,[],[],[]
2017-09-22,,,,,B,,50,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X148,,62,CE,CLWQ227,[],2QEDGkWOK8dDa,CLWQ227,CLWQ227,[],[],[]
2017-09-22,,,,,B,,51,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X149,,62,CE,CLWQ228,[],2QEDGxOQcvYCz,CLWQ228,CLWQ228,[],[],[]
2017-09-22,,,,,B,,52,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X150,,62,CE,CLWQ229,[],2QEDGitUn6dKN,CLWQ229,CLWQ229,[],[],[]
2017-09-22,,,,,B,,53,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X151,,62,CE,CLWQ230,[],2QEDGX7luyGb1,CLWQ230,CLWQ230,[],[],[]
2017-09-22,,,,,B,,55,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X152,,62,CE,CLWQ232,[],2QEDGzhEl9AaK,CLWQ232,CLWQ232,[],[],[]
2017-09-22,,,,,B,,58,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X153,,62,CE,CLWQ235,[],2QEDGXOWX0oPi,CLWQ235,CLWQ235,[],[],[]
2017-09-22,,,,,B,,59,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X154,,62,CE,CLWQ236,[],2QEDGDms6MD59,CLWQ236,CLWQ236,[],[],[]
2017-09-22,,,,,B,,60,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X155,,62,CE,CLWQ237,[],2QEDGWkP5tBJR,CLWQ237,CLWQ237,[],[],[]
2017-09-22,,,,,B,,63,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X156,,62,CE,CLWQ240,[],2QEDGw65lKnks,CLWQ240,CLWQ240,[],[],[]
2017-09-22,,,,,B,,65,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X157,,62,CE,CLWQ242,[],2QEDGyH2d0c5u,CLWQ242,CLWQ242,[],[],[]
2017-09-22,,,,,B,,66,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X158,,62,CE,CLWQ243,[],2QEDG7FJDNjtB,CLWQ243,CLWQ243,[],[],[]
2017-09-22,,,,,B,,67,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X159,,62,CE,CLWQ244,[],2QEDGlnSIt5sq,CLWQ244,CLWQ244,[],[],[]
2017-09-22,,,,,B,,68,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X160,,62,CE,CLWQ245,[],2QEDGwQ25G9lA,CLWQ245,CLWQ245,[],[],[]
2017-09-22,,,,,B,,69,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X161,,62,CE,CLWQ246,[],2QEDGYycuz7VR,CLWQ246,CLWQ246,[],[],[]
2017-09-22,,,,,B,,70,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X162,,62,CE,CLWQ249,[],2QEDGNhkmcfdl,CLWQ249,CLWQ249,[],[],[]
2017-09-22,,,,,B,,71,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X163,,62,CE,CML144,[],2QEDG5p4wIkgi,CML144,CML144,[],[],[]
2017-09-22,,,,,B,,72,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X164,,62,CE,CML159,[],2QEDGzFIkZjkB,CML159,CML159,[],[],[]
2017-09-22,,,,,B,,73,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X165,,62,CE,CML491,[],2QEDGs6kpC3Nj,CML491,CML491,[],[],[]
2017-09-22,,,,,B,,74,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X166,,62,CE,CML502,[],2QEDGwi87VjeJ,CML502,CML502,[],[],[]
2017-09-22,,,,,B,,75,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X167,,62,CE,CML503,[],2QEDG53fqezkU,CML503,CML503,[],[],[]
2017-09-22,selfed,increase,,20170922,A,,1,centro,2017B,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,20170520,X112,,61,CE,VI00001U0001,[],2QEDGdI1FfoKY,VI00001U0001,CLRCW96,[],"[{""synonym"": ""CLRCW96"", ""type"": ""LNAME""}, {""synonym"": ""CLRCW96"", ""type"": ""PED""}]",[]
2017-09-22,selfed,increase,,20170922,A,,2,centro,2017B,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,20170520,X113,,61,CE,VI00001U0002,[],2QEDGQKHw39zC,VI00001U0002,CLRCW86,[],"[{""synonym"": ""CLRCW86"", ""type"": ""LNAME""}, {""synonym"": ""CLRCW86"", ""type"": ""PED""}]",[]
2017-09-22,selfed,increase,,20170922,A,,3,centro,2017B,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,20170520,X114,,61,CE,VI00001U0003,[],2QEDGuEfr3gQU,VI00001U0003,CML264,[],"[{""synonym"": ""CML264"", ""type"": ""LNAME""}, {""synonym"": ""CML264"", ""type"": ""PED""}]",[]
2017-09-22,selfed,increase,,20170922,B,,4,centro,2017B,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,20170520,X115,,61,CE,VI00001U0004,[],2QEDGadszziew,VI00001U0004,CML269,[],"[{""synonym"": ""CML269"", ""type"": ""LNAME""}, {""synonym"": ""CML269"", ""type"": ""PED""}]",[]
2017-09-22,selfed,increase,,20170922,A,,5,centro,2017B,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,20170520,X116,,61,CE,VI00001U0005,[],2QEDGOjl5Xo8c,VI00001U0005,CLWQHZN12,[],"[{""synonym"": ""CLWQHZN12"", ""type"": ""LNAME""}, {""synonym"": ""CLWQHZN12"", ""type"": ""PED""}]",[]
2017-09-22,selfed,increase,,20170922,A,,6,centro,2017B,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,20170520,X117,,61,CE,VI00001U0006,[],2QEDGCRCatwgf,VI00001U0006,CLWQHZN14,[],"[{""synonym"": ""CLWQHZN14"", ""type"": ""LNAME""}, {""synonym"": ""CLWQHZN14"", ""type"": ""PED""}]",[]
2017-09-22,selfed,increase,,20170922,B,,7,centro,2017B,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,20170520,X118,,61,CE,VI00001U0007,[],2QEDGxiqOd3GC,VI00001U0007,CLWQHZN49,[],"[{""synonym"": ""CLWQHZN49"", ""type"": ""LNAME""}, {""synonym"": ""CLWQHZN49"", ""type"": ""PED""}]",[]
2017-09-22,selfed,increase,,20170922,B,,8,centro,2017B,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,20170520,X119,,61,CE,VI00001U0008,[],2QEDG1eRHoH1I,VI00001U0008,CLWQHZN53,[],"[{""synonym"": ""CLWQHZN53"", ""type"": ""LNAME""}, {""synonym"": ""CLWQHZN53"", ""type"": ""PED""}]",[]
2017-09-22,selfed,increase,,20170922,B,,9,centro,2017B,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,20170520,X120,,61,CE,VI00001U0009,[],2QEDGInS42SPn,VI00001U0009,CML550=CLWN201,[],"[{""synonym"": ""CML550=CLWN201"", ""type"": ""LNAME""}, {""synonym"": ""CML550=CLWN201"", ""type"": ""PED""}]",[]
2017-09-22,selfed,increase,,20170922,A,,10,centro,2017B,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,20170520,X121,,61,CE,VI00001U0010,[],2QEDGtyxezfC0,VI00001U0010,CML549=CLRCW105,[],"[{""synonym"": ""CML549=CLRCW105"", ""type"": ""LNAME""}, {""synonym"": ""CML549=CLRCW105"", ""type"": ""PED""}]",[]
2017-09-22,selfed,increase,,20170922,A,,11,centro,2017B,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,20170520,X122,,61,CE,VI00001U0011,[],2QEDGixZ8v5yu,VI00001U0011,CLWN207,[],"[{""synonym"": ""CLWN207"", ""type"": ""LNAME""}, {""synonym"": ""CLWN207"", ""type"": ""PED""}]",[]
2017-09-22,selfed,increase,,20170922,B,,12,centro,2017B,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,20170520,X123,,61,CE,VI00001U0012,[],2QEDGt833ih1A,VI00001U0012,CLQRCWQ10,[],"[{""synonym"": ""CLQRCWQ10"", ""type"": ""LNAME""}, {""synonym"": ""CLQRCWQ10"", ""type"": ""PED""}]",[]
2017-09-22,selfed,increase,,20170922,B,,13,centro,2017B,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,20170520,X124,,61,CE,VI00001U0013,[],2QEDGyOO5sG2C,VI00001U0013,CLQRCWQ108,[],"[{""synonym"": ""CLQRCWQ108"", ""type"": ""LNAME""}, {""synonym"": ""CLQRCWQ108"", ""type"": ""PED""}]",[]
2017-09-22,selfed,increase,,20170922,A,,14,centro,2017B,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,20170520,X125,,61,CE,VI00001U0014,[],2QEDGOKoNZ4HC,VI00001U0014,CLQRCWQ113,[],"[{""synonym"": ""CLQRCWQ113"", ""type"": ""LNAME""}, {""synonym"": ""CLQRCWQ113"", ""type"": ""PED""}]",[]
2017-09-22,selfed,increase,,20170922,B,No hay bolsa,19,centro,2017B,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,20170520,X126,,61,CE,VI00001U0015,[],2QEDG8S15CvSN,VI00001U0015,CLQRCWQ119,[],"[{""synonym"": ""CLQRCWQ119"", ""type"": ""LNAME""}, {""synonym"": ""CLQRCWQ119"", ""type"": ""PED""}]",[]
2017-09-22,selfed,increase,,20170922,A,,20,centro,2017B,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,20170520,X127,,61,CE,VI00001U0016,[],2QEDGEJ8hLfdH,VI00001U0016,CLQRCWQ120,[],"[{""synonym"": ""CLQRCWQ120"", ""type"": ""LNAME""}, {""synonym"": ""CLQRCWQ120"", ""type"": ""PED""}]",[]
2017-09-22,selfed,increase,,20170922,B,,21,centro,2017B,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,20170520,X128,,61,CE,VI00001U0017,[],2QEDG0ASZqdsq,VI00001U0017,CLQRCWQ121,[],"[{""synonym"": ""CLQRCWQ121"", ""type"": ""LNAME""}, {""synonym"": ""CLQRCWQ121"", ""type"": ""PED""}]",[]
2017-09-22,selfed,increase,,20170922,B,,22,centro,2017B,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,20170520,X129,,61,CE,VI00001U0018,[],2QEDGbA6hiEGz,VI00001U0018,CLQRCWQ122,[],"[{""synonym"": ""CLQRCWQ122"", ""type"": ""LNAME""}, {""synonym"": ""CLQRCWQ122"", ""type"": ""PED""}]",[]
2017-09-22,selfed,increase,,20170922,B,,23,centro,2017B,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,20170520,X130,,61,CE,VI00001U0019,[],2QEDG7Y7URRhR,VI00001U0019,CLQRCWQ123,[],"[{""synonym"": ""CLQRCWQ123"", ""type"": ""LNAME""}, {""synonym"": ""CLQRCWQ123"", ""type"": ""PED""}]",[]
